id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
1,meter,meters,m,t,"{""factor"": 1}",0
2,millimeter,millimeters,mm,f,"{""factor"": 0.001}",0
3,centimeter,centimeters,cm,f,"{""factor"": 0.01}",0
4,kilometer,kilometers,km,f,"{""factor"": 1000}",0
5,mile,miles,mi,f,"{""factor"": 1609.34}",0
6,foot,feet,ft,f,"{""factor"": 0.3048}",0
7,date,dates,date,t,"{""factor"": 1}",0
8,inch,inches,in,f,"{""factor"": 0.0254}",0
9,yard,yards,yd,f,"{""factor"": 0.9144}",0
10,kilogram,kilograms,kg,t,"{""factor"": 1}",0
11,milligram,milligrams,mg,f,"{""factor"": 0.000001}",0
12,hectogram,hectograms,hg,f,"{""factor"": 0.1}",0
13,gram,grams,g,f,"{""factor"": 0.001}",0
14,tonne,tonnes,t,f,"{""factor"": 1000}",0
15,"ton (US, short)","tons (US, short)",sh. t,f,"{""factor"": 907.18474}",0
16,"tonne (UK, long)","tonnes (UK, long)",l. t,f,"{""factor"": 1016.046909}",0
17,gigagram,gigagrams,Gg,f,"{""factor"": 1000000}",0
18,pound,pounds,lb,f,"{""factor"": 0.45359237}",0
19,ounce,ounces,oz,f,"{""factor"": 0.028349523}",0
20,"bushel (wheat, white potatoes, beans, soybeans, peas)","bushels (wheat, white potatoes, beans, soybeans, peas)",bu,f,"{""factor"": 27.21532767}",0
21,bushel (oats),bushels (oats),bu,f,"{""factor"": 15.42210296}",0
22,"bushel (barley, buckwheat, apples)","bushels (barley, buckwheat, apples)",bu,f,"{""factor"": 21.77226214}",0
23,"bushel (corn, rye, sorghum grain, flaxseed)","bushels (corn, rye, sorghum grain, flaxseed)",bu,f,"{""factor"": 25.40134119}",0
24,"bushel (canola, mustard seed, canary seed)","bushels (canola, mustard seed, canary seed)",bu,f,"{""factor"": 22.6796}",0
25,bushel (30lb sunflower seed),bushels (30lb sunflower seed),bu,f,"{""factor"": 13.60784901}",0
26,bushel (50lb triticale),bushels (50lb triticale),bu,f,"{""factor"": 23.58713086}",0
27,second,seconds,s,t,"{""factor"": 1}",0
28,millisecond,milliseconds,ms,f,"{""factor"": 0.001}",0
29,minute,minutes,min,f,"{""factor"": 60}",0
30,hour,hours,h,f,"{""factor"": 3600}",0
31,day,days,d,f,"{""factor"": 86400}",0
32,week,weeks,wk,f,"{""factor"": 604800}",0
33,month,months,mo,f,"{""factor"": 2592000}",0
34,year,years,yr,f,"{""factor"": 31536000}",0
35,Kelvin,Kelvin,K,t,"{""factor"": 1, ""offset"": 0}",1
36,Celsius,Celsius,°C,f,"{""factor"": 1, ""offset"": 273.15}",1
37,Fahrenheit,Fahrenheit,°F,f,"{""factor"": 0.5555555555555556, ""offset"": 255.37222222222222222222}",1
38,square meter,square meters,m²,t,"{""factor"": 1}",0
39,square centimeter,square centimeters,cm²,f,"{""factor"": 0.0001}",0
40,square kilometer,square kilometers,km²,f,"{""factor"": 1000000}",0
41,acre,acres,acre,f,"{""factor"": 4046.856422}",0
42,hectare,hectares,ha,f,"{""factor"": 10000}",0
43,US Dollar (constant 2010),US Dollars (constant 2010),USD (constant 2010),f,"{""factor"": null}",0
44,square foot,square feet,ft²,f,"{""factor"": 0.09290304}",0
45,square inch,square inches,in²,f,"{""factor"": 0.00064516}",0
46,square mile,square miles,mi²,f,"{""factor"": 2589988.11}",0
47,square millimeter,square millimeters,mm²,f,"{""factor"": 0.000001}",0
48,square yard,square yards,yd²,f,"{""factor"": 0.83612736}",0
49,cubic meter,cubic meters,m³,t,"{""factor"": 1}",0
50,cubic millimeter,cubic millimeters,mm³,f,"{""factor"": 0.000000001}",0
51,cubic centimeter,cubic centimeters,cm³,f,"{""factor"": 0.000001}",0
52,liter,liters,L,f,"{""factor"": 0.001}",0
53,centiliter,centiliters,cL,f,"{""factor"": 0.00001}",0
54,milliliter,milliliters,mL,f,"{""factor"": 0.000001}",0
55,dekaliter,dekaliters,daL,f,"{""factor"": 0.01}",0
56,gallon (fluid),gallons (fluid),gal,f,"{""factor"": 0.003785412}",0
57,gallon (UK),gallons (UK),gal,f,"{""factor"": 0.00454609}",0
58,barrel (petroleum),barrels (petroleum),bbl,f,"{""factor"": 0.158987295}",0
59,fluid ounce,fluid ounces,fl oz,f,"{""factor"": 0.0000295735}",0
60,fluid ounce (UK),fluid ounces (UK),fl oz,f,"{""factor"": 0.000028413}",0
61,tonne per hectare,tonnes per hectare,t/ha,f,"{""factor"": 0.1}",0
62,tonne per acre,tonnes per acre,t/acre,f,"{""factor"": 0.247105382}",0
63,tonne per square kilometer,tonnes per square kilometer,t/km²,f,"{""factor"": 0.001}",0
64,tonne per square mile,tonnes per square mile,t/mi²,f,"{""factor"": 0.000386102}",0
65,Local Currency Unit (constant 2010),Local Currency Units (constant 2010),LCU (constant 2010),f,"{""factor"": null}",0
66,US Dollar per barrel,US Dollars per barrel,USD/BBL,f,"{""factor"": 6.289810767583662}",0
67,kilogram per square meter,kilograms per square meter,kg/m²,t,"{""factor"": 1}",0
68,"ton (US, short) per hectare","tons (US, short) per hectare",sh. t/ha,f,"{""factor"": 0.090718474}",0
69,"ton (US, short) per acre","tons (US, short) per acre",sh. t/acre,f,"{""factor"": 0.224170231}",0
70,"ton (US, short) per square kilometer","tons (US, short) per square kilometer",sh. t/km²,f,"{""factor"": 0.000907185}",0
71,"ton (US, short) per square mile","tons (US, short) per square mile",sh. t/mi²,f,"{""factor"": 0.000350266}",0
72,US Dollar per dry tonne,US Dollars per dry tonne,USD/t (dry),f,"{""factor"": 0.001}",0
73,US Dollar per Million British Thermal Units,US Dollars per Million British Thermal Units,USD/MMBTU,f,"{""factor"": 0.000000000947813394498891}",0
74,kilogram per hectare,kilograms per hectare,kg/ha,f,"{""factor"": 0.0001}",0
75,kilogram per acre,kilograms per acre,kg/acre,f,"{""factor"": 0.000247105}",0
76,kilogram per square kilometer,kilograms per square kilometer,kg/km²,f,"{""factor"": 0.000001}",0
77,kilogram per square mile,kilograms per square mile,kg/mi²,f,"{""factor"": 0.0000003861}",0
78,US Dollar per troy ounce,US Dollars per troy ounce,USD/TOZ,f,"{""factor"": 32.157}",0
79,Price Index in US Dollar (Year 2000=100),Price Indices in US Dollar (Year 2000=100),Price Index in USD (Yr. 2000 = 100),t,"{""factor"": null}",0
80,pound per hectare,pounds per hectare,lb/ha,f,"{""factor"": 0.00004536}",0
81,pound per acre,pounds per acre,lb/acre,f,"{""factor"": 0.000112085}",0
82,pound per square kilometer,pounds per square kilometer,lb/km²,f,"{""factor"": 0.0000004536}",0
83,pound per square mile,pounds per square mile,lb/mi2,f,"{""factor"": 0.00000017513}",0
84,US cent per kilogram,US cents per kilogram,cts./kg,f,"{""factor"": 0.01}",0
85,US cent per sheet,US cents per sheet,cts./sheet,f,"{""factor"": 0.01}",0
86,hectogram per hectare,hectograms per hectare,hg/ha,f,"{""factor"": 0.00001}",0
87,hectogram per acre,hectograms per acre,hg/acre,f,"{""factor"": 0.00002471}",0
88,milligram per hectare,milligrams per hectare,mg/ha,f,"{""factor"": 0.0000000001}",0
89,US cent per troy ounce,US cents per troy ounce,cts./TOZ,f,"{""factor"": 0.32157}",0
90,US cent per dry tonne,US cents per dry tonne,cts/t (dry),f,"{""factor"": 0.00001}",0
91,Afghan Afghani per head,Afghan Afghanis per head,AFN/head,f,"{""factor"": null}",0
92,Afghan Afghani per kilogram,Afghan Afghanis per kilogram,AFN/kg,f,"{""factor"": null}",0
93,Afghan Afghani per liter,Afghan Afghanis per liter,AFN/L,f,"{""factor"": null}",0
94,South African Rand per tonne,South African Rands per tonne,ZAR/t,f,"{""factor"": null}",0
95,Armenian dram per kilogram,Armenian drams per kilogram,AMD/kg,f,"{""factor"": null}",0
96,Armenian dram per liter,Armenian drams per liter,AMD/L,f,"{""factor"": null}",0
97,Azerbaijani manat per kilogram,Azerbaijani manats per kilogram,AZN/kg,f,"{""factor"": null}",0
98,Azerbaijani manat per liter,Azerbaijani manats per liter,AZN/L,f,"{""factor"": null}",0
99,Bangladeshi taka per kilogram,Bangladeshi taka per kilogram,BDT/kg,f,"{""factor"": null}",0
100,Bangladeshi taka per liter,Bangladeshi taka per liter,BDT/L,f,"{""factor"": null}",0
101,Bhutanese ngultrum per kilogram,Bhutanese ngultrums per kilogram,BTN/kg,f,"{""factor"": null}",0
102,kilogram per head,kilograms per head,kg/head,t,"{""factor"": 1}",0
103,percent,percent,%,t,"{""factor"": 0.01}",0
104,head,heads,head,t,"{""factor"": 1}",0
105,Bolivian Boliviano per kilogram,Bolivian Bolivianos per kilogram,BOB/kg,f,"{""factor"": null}",0
106,unit,units,unit,f,"{""factor"": 1}",0
107,full-time equivalent,full-time equivalent,full-time equiv,f,"{""factor"": 1}",0
108,head per square meter,heads per square meter,head/m²,t,"{""factor"": 1}",0
109,head per hectare,heads per hectare,head/ha,f,"{""factor"": 0.0001}",0
110,US Dollar,US Dollars,USD,t,"{""factor"": 1}",0
111,South African Rand per kilogram,South African Rands per kilogram,ZAR/kg,f,"{""factor"": null}",0
112,International Dollar,International Dollars,Int Dollar,f,"{""factor"": null}",0
113,Local Currency Unit,Local Currency Units,LCU,f,"{""factor"": null}",0
114,Standard Local Currency,Standard Local Currency,SLC,f,"{""factor"": null}",0
115,Joule,Joules,J,t,"{""factor"": 1}",0
116,calorie,calories,Cal,f,"{""factor"": 4.184}",0
117,kilocalorie,kilocalories,kCal,f,"{""factor"": 4184}",0
118,calorie per capita per day,calories per capita per day,Cal/capita/d,f,"{""factor"": 0.00004843}",0
119,kilocalorie per capita per day,kilocalories per capita per day,kCal/capita/d,f,"{""factor"": 0.048426}",0
120,kilocalorie per capita per week,kilocalories per capita per week,kCal/capita/wk,f,"{""factor"": 0.006918}",0
121,kilocalorie per capita per month,kilocalories per capita per month,kCal/capita/mo,f,"{""factor"": 0.001614196}",0
122,kilocalorie per capita per year,kilocalories per capita per year,kCal/capita/yr,f,"{""factor"": 0.000132763}",0
123,joule per capita per second,joules per capita per second,J/capita/s,t,"{""factor"": 1}",0
124,joule per capita per day,joules per capita per day,J/capita/d,f,"{""factor"": 0.000011574}",0
125,joule per capita per week,joules per capita per week,J/capita/wk,f,"{""factor"": 0.0000016534}",0
126,joule per capita per month,joules per capita per month,J/capita/mo,f,"{""factor"": 0.000000385802}",0
127,joule per capita per year,joules per capita per year,J/capita/yr,f,"{""factor"": 0.0000000317098}",0
128,none,none,none,t,"{""factor"": 1}",0
129,US Dollar per kilogram,US Dollars per kilogram,USD/kg,t,"{""factor"": 1}",0
130,Local Currency Unit per tonne,Local Currency Units per tonne,LCU/t,f,"{""factor"": null}",0
131,hectare per day,hectares per day,ha/d,f,"{""factor"": 0.115740741}",0
132,square meter per second,square meters per second,m²/s,t,"{""factor"": 1}",0
133,hectare per week,hectares per week,ha/wk,f,"{""factor"": 0.016534392}",0
134,hectare per month,hectares per month,ha/mo,f,"{""factor"": 0.00380517}",0
135,hectare per year,hectares per year,ha/yr,f,"{""factor"": 0.000317098}",0
136,acre per week,acres per day,acre/d,f,"{""factor"": 0.046838616}",0
137,Cambodian Riel per kilogram,Cambodian Riels per kilogram,KHR/kg,f,"{""factor"": null}",0
138,acre per month,acres per month,acre/mo,f,"{""factor"": 0.0015399}",0
139,acre per year,acres per year,acre/yr,f,"{""factor"": 0.000128325}",0
140,Cape Verdean Escudo per kilogram,Cape Verdean Escudos per kilogram,CVE/kg,f,"{""factor"": null}",0
141,US Dollar per gram,US Dollars per gram,USD/g,f,"{""factor"": 1000}",0
142,GLASOD erosion degree,GLASOD erosion degree,GLASOD degree,t,"{""factor"": 1}",0
153,International US Dollar,International US Dollars,Int USD,f,"{""factor"": null}",0
154,Great Britain Pound per tonne,Great Britain Pounds per tonne,GBP/t,f,"{""factor"": null}",0
155,kilogram per capita per second,kilograms per capita per second,kg/capita/s,t,"{""factor"": 1}",0
156,gram per capita per day,grams per capita per day,g/capita/d,f,"{""factor"": 0.0000000116}",0
157,gram per capita per week,grams per capita per week,g/capita/wk,f,"{""factor"": 0.00000000165}",0
158,gram per capita per month,grams per capita per month,g/capita/mo,f,"{""factor"": 0.000000000386}",0
159,gram per capita per year,grams per capita per year,g/capita/yr,f,"{""factor"": 0.0000000000317}",0
160,kilogram per capita per day,kilograms per capita per day,kg/capita/d,f,"{""factor"": 0.0000116}",0
161,kilogram per capita per week,kilograms per capita per week,kg/capita/wk,f,"{""factor"": 0.00000165}",0
162,kilogram per capita per month,kilograms per capita per month,kg/capita/mo,f,"{""factor"": 0.000000386}",0
163,kilogram per capita per year,kilograms per capita per year,kg/capita/yr,f,"{""factor"": 0.0000000317}",0
164,pound per capita per day,pounds per capita per day,lb/capita/d,f,"{""factor"": 0.0000525}",0
165,pound per capita per week,pounds per capita per week,lb/capita/wk,f,"{""factor"": 0.000000745}",0
166,pound per capita per month,pounds per capita per week,lb/capita/mo,f,"{""factor"": 0.0000001725}",0
167,pound per capita per year,pounds per capita per year,lb/capita/yr,f,"{""factor"": 0.000000014374}",0
168,Colombian Peso per kilogram,Colombian Pesos per kilogram,COP/kg,f,"{""factor"": null}",0
169,Colombian Peso per liter,Colombian Pesos per liter,COP/L,f,"{""factor"": null}",0
170,Congolese Franc per kilogram,Congolese Francs per kilogram,CDF/kg,f,"{""factor"": null}",0
171,Congolese Franc per liter,Congolese Francs per liter,CDF/L,f,"{""factor"": null}",0
172,"US Dollar per tonne (UK, long)","US Dollars per tonne (UK, long)",USD/t,f,"{""factor"": 0.000984207}",0
173,US Dollar per ounce,US Dollars per ounce,USD/oz,f,"{""factor"": 35.2739619}",0
175,Dominican Peso per kilogram,Dominican Pesos per kilogram,DOP/kg,f,"{""factor"": null}",0
177,Rwandan Franc per tonne,Rwandan Francs per tonne,RWF/t,f,"{""factor"": null}",0
179,Ethiopian Birr per liter,Ethiopian Birr per liter,ETB/L,f,"{""factor"": null}",0
180,Local Currency Unit (constant 2005),Local Currency Units (constant 2005),LCU (constant 2005),f,"{""factor"": null}",0
181,US Dollar per tonne,US Dollars per tonne,USD/t,f,"{""factor"": 0.001}",0
182,Gambian Dalasi per kilogram,Gambian Dalasi per kilogram,GMD/kg,f,"{""factor"": null}",0
183,kilogram per animal,kilograms per animal,kg/an,t,"{""factor"": 1}",0
184,hectogram per animal,hectograms per animal,hg/an,f,"{""factor"": 0.1}",0
185,unit per square kilometer of arable land,units per square kilometer of of arable land,unit/km²,f,"{""factor"": 0.000001}",0
186,unit per square meter of arable land,units per square meter of of arable land,unit/m²,t,"{""factor"": 1}",0
187,ratio,ratios,ratio,t,"{""factor"": 1}",0
189,index,indices,index,t,"{""factor"": 1}",0
195,kilogram per hectare of arable land,kilograms per hectare of arable land,kg/ha,f,"{""factor"": 0.0001}",0
196,kilogram per square meter of arable land,kilograms per square meter of arable land,kg/m²,f,"{""factor"": 1}",0
199,Gambian Dalasi per liter,Gambian Dalasi per liter,GMD/L,f,"{""factor"": null}",0
200,Georgian Lari per kilogram,Georgian Laris per kilogram,GEL/kg,f,"{""factor"": null}",0
202,kilogram N₂O per kilogram N,kilograms N₂O per kilogram N,kg N₂O/kg N,t,"{""factor"": 1}",0
203,Guatemalan Quetzal per kilogram,Guatemalan Quetzales per kilogram,GTQ/kg,f,"{""factor"": null}",0
206,unit per square kilometer,units per square kilometer,unit/km²,f,"{""factor"": 0.000001}",0
207,Guatemalan Quetzal per liter,Guatemalan Quetzales per liter,GTQ/L,f,"{""factor"": null}",0
208,price index,price indices,price index,f,"{""factor"": 1}",0
210,US Dollar per capita,US Dollars per capita,USD/capita,t,"{""factor"": 1}",0
211,US Dollar per capita (constant 2004-2006),US Dollars per capita (constant 2004-2006),USD (constant 2004-2006)/capita,f,"{""factor"": null}",0
215,Haitian Gourde per kilogram,Haitian Gourdes per kilogram,HTG/kg,f,"{""factor"": null}",0
216,Haitian Gourde per liter,Haitian Gourdes per liter,HTG/L,f,"{""factor"": null}",0
217,Indian Rupee per kilogram,Indian Rupees per kilogram,INR/kg,f,"{""factor"": null}",0
218,kilometer per 100 square kilometers,kilometers per 100 square kilometers,km/100 km²,f,"{""factor"": 0.00001}",0
219,Indian Rupee per liter,Indian Rupees per liter,INR/L,f,"{""factor"": null}",0
223,US Dollar (constant 2005),US Dollars(constant 2005),USD (constant 2005),f,"{""factor"": null}",0
224,Local Currency Unit (constant),Local Currency Units (constant),LCU (constant),f,"{""factor"": null}",0
225,number,numbers,number,f,"{""factor"": 1}",0
226,Indonesian Rupiah per kilogram,Indonesian Rupiah per kilogram,IDR/kg,f,"{""factor"": null}",0
227,US Dollar (constant),US Dollars (constant),USD (constant),f,"{""factor"": null}",0
228,Indonesian Rupiah per liter,Indonesian Rupiah per liter,IDR/L,f,"{""factor"": null}",0
229,Iranian Rial per kilogram,Iranian Rials per kilogram,IRR/kg,f,"{""factor"": null}",0
230,480 lb bale,480 lb bale,480 lb bales,f,"{""factor"": 217.7243376}",0
231,60 kg bag,60 kg bag,60 kg bags,f,"{""factor"": 60}",0
232,metric ton carcass-weight equivalent for swine,metric tons carcass-weight equivalent for swine,"mt cwe, swine",f,"{""factor"": 1000}",0
233,bush,bushes,bush,f,"{""factor"": 1}",0
234,colony,colonies,colonies,f,"{""factor"": 1}",0
235,piece,pieces,pcs,f,"{""factor"": 1}",0
236,decimal fraction,decimal fractions,dec. fraction,t,"{""factor"": 1}",0
237,tree,trees,trees,f,"{""factor"": 1}",0
238,"tonne, raw equivalent value","tonnes, raw equivalent value",t (raw eq),f,"{""factor"": 1000}",0
239,"tonne, raw equivalent weight","tonnes, raw equivalent weight",t (raw ew),f,"{""factor"": 1000}",0
240,"tonne, refined value","tonnes, refined value",t (re),f,"{""factor"": 1000}",0
241,"tonne, net weight","tonnes, net weight",t (net weight),f,"{""factor"": 1000}",0
242,"tonne, carcass-weight equivalent for beef","tonnes, carcass-weight equivalent for beef",t cwe (beef),f,"{""factor"": 1000}",0
243,"tonne, carcass-weight equivalent for lamb","tonnes, carcass-weight equivalent for lamb",t cwe (lamb),f,"{""factor"": 1000}",0
244,Iranian Rial per liter,Iranian Rials per liter,IRR/L,f,"{""factor"": null}",0
245,Iraqi Dinar per kilogram,Iraqi Dinars per kilogram,IQD/kg,f,"{""factor"": null}",0
246,Iraqi Dinar per liter,Iraqi Dinars per liter,IQD/L,f,"{""factor"": null}",0
247,Israeli New Sheqel per kilogram,Israeli New Sheqels per kilogram,NIS/kg,f,"{""factor"": null}",0
248,Israeli New Sheqel per liter,Israeli New Sheqels per liter,NIS/L,f,"{""factor"": null}",0
249,Jordanian Dinar per kilogram,Jordanian Dinars per kilogram,JOD/kg,f,"{""factor"": null}",0
250,Jordanian Dinar per liter,Jordanian Dinars per liter,JOD/L,f,"{""factor"": null}",0
251,gram per animal,grams per animal,g/an,f,"{""factor"": 0.001}",0
252,ounce per animal,ounces per animal,oz/an,f,"{""factor"": 0.028349523}",0
255,pound per head,pounds per head,lb/head,f,"{""factor"": 0.45359237}",0
257,kilowatt-hour,kilowatts-hour,kWh,f,"{""factor"": 3600000}",0
258,cubic foot,cubic feet,ft³,f,"{""factor"": 0.028317}",0
259,cubic kilometer,cubic kilometers,km³,f,"{""factor"": 1000000000}",0
260,cubic inch,cubic inches,in³,f,"{""factor"": 0.000016387}",0
261,"Local Currency Unit per ton (US, short)","Local Currency Units per ton (US, short)",LCU/t,f,"{""factor"": null}",0
262,Standard Local Currency per tonne,Standard Local Currency per tonne,SLC/t,f,"{""factor"": null}",0
263,"Standard Local Currency per ton (US, short)","Standard Local Currency per ton (US, short)",SLC/sh. t,f,"{""factor"": null}",0
264,"US Dollar per ton (US, short)","US Dollars per ton (US, short)",USD/sh. t,f,"{""factor"": 0.0011023}",0
265,head per acre,heads per acre,head/acre,f,"{""factor"": 0.000247105}",0
267,Kyrgyzstani Som per kilogram,Kyrgyzstani Soms per kilogram,KGS/kg,f,"{""factor"": null}",0
268,International US Dollar (constant),International US Dollars (constant),Int USD (constant),f,"{""factor"": null}",0
269,hundredweight (US),hundredweights (US),cwt,f,"{""factor"": 45.359237}",0
