id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
1040,Syrian Pound per tonne,Syrian Pounds per tonne,SYP/t,f,"{""factor"": null}",0
1041,Syrian Pound per unit,Syrian Pounds per unit,SYP/unit,f,"{""factor"": null}",0
1042,Turkish Lira per kilowatt-hour,Turkish Liras per kilowatt-hour,TRY/kWh,f,"{""factor"": null}",0
1043,Turkish Lira per unit,Turkish Liras per unit,TRY/unit,f,"{""factor"": null}",0
1044,Ugandan Shilling per liter,Ugandan Shillings per liter,UGX/L,f,"{""factor"": null}",0
1045,Colombian Peso per unit,Colombian Pesos per unit,COP/unit,f,"{""factor"": null}",0
1046,Congolese Franc per course,Congolese Francs per course,CDF/course,f,"{""factor"": null}",0
1047,Israeli New Sheqel per cubic meter,Israeli New Sheqels per cubic meter,NIS/m³,f,"{""factor"": null}",0
1048,Syrian Pound per cubic meter,Syrian Pounds per cubic meter,SYP/m³,f,"{""factor"": null}",0
1049,Turkish Lira per course,Turkish Liras per course,TRY/course,f,"{""factor"": null}",0
1050,Turkish Lira per cubic meter,Turkish Liras per cubic meter,TRY/m³,f,"{""factor"": null}",0
1051,Turkish Lira per package,Turkish Liras per package,TRY/package,f,"{""factor"": null}",0
1052,Ukrainian Hryvnia per loaf,Ukrainian Hryvnias per loaf,UAH/loaf,f,"{""factor"": null}",0
1053,ear corn bushel,ear corn bushels,70-lb bu,f,"{""factor"": 31.7514659}",0
1054,shelled corn bushel,shelled corn bushels,56-lb bu,f,"{""factor"": 25.40117272}",0
1055,kaffir corn bushel,kaffir corn bushels,56-lb bu,f,"{""factor"": 25.40117272}",0
1056,alfalfa seed bushel,alfalfa seed bushels,60-lb bu,f,"{""factor"": 27.2155422}",0
1057,green apples bushel,green apples bushels,47-lb bu,f,"{""factor"": 21.31884139}",0
1058,dried apples bushel,dried apples bushels,24-lb bu,f,"{""factor"": 10.88621688}",0
1059,"bushel (green beans, wax beans)","bushels (green beans, wax beans)",24-lb bu,f,"{""factor"": 10.88621688}",0
1060,white beans bushel,white beans bushels,60-lb bu,f,"{""factor"": 27.2155422}",0
1061,beets bushel,beets bushels,60-lb bu,f,"{""factor"": 27.2155422}",0
1062,blue grass seed bushel,blue grass seed bushels,14-lb bu,f,"{""factor"": 6.35029318}",0
1063,bran bushel,bran bushels,20-lb bu,f,"{""factor"": 9.0718474}",0
1064,buckwheat bushel,buckwheat bushels,52-lb bu,f,"{""factor"": 23.58680324}",0
1065,carrots bushel,carrots bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1066,charcoal bushel,charcoal bushels,20-lb bu,f,"{""factor"": 9.0718474}",0
1067,clover seed bushel,clover seed bushels,60-lb bu,f,"{""factor"": 27.2155422}",0
1068,cottonseed bushel,cottonseed bushels,32-lb bu,f,"{""factor"": 14.51495584}",0
1069,emmer bushel,emmer bushels,40-lb bu,f,"{""factor"": 18.1436948}",0
1070,cucumbers bushel,cucumbers bushels,48-lb bu,f,"{""factor"": 21.77243376}",0
1071,cranberries bushel,cranberries bushels,33-lb bu,f,"{""factor"": 14.96854821}",0
1072,unbolted corn meal bushel,unbolted corn meal bushels,48-lb bu,f,"{""factor"": 21.77243376}",0
1073,broom corn seed bushel,broom corn seed bushels,48-lb bu,f,"{""factor"": 21.77243376}",0
1074,gooseberries bushel,gooseberries bushels,40-lb bu,f,"{""factor"": 18.1436948}",0
1075,hemp seed bushel,hemp seed bushels,44-lb bu,f,"{""factor"": 19.95806428}",0
1076,hickory nuts bushel,hickory nuts bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1077,hungarian grass seed bushel,hungarian grass seed bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1078,lime bushel,lime bushels,80-lb bu,f,"{""factor"": 36.2873896}",0
1079,malt bushel,malt bushels,34-lb bu,f,"{""factor"": 15.42214058}",0
1080,Japanese millet bushel,Japanese millet bushels,35-lb bu,f,"{""factor"": 15.87573295}",0
1081,oats bushel,oats bushels,32-lb bu,f,"{""factor"": 14.51495584}",0
1082,onions bushel,onions bushels,57-lb bu,f,"{""factor"": 25.85476509}",0
1083,top set onions bushel,top set onions bushels,30-lb bu,f,"{""factor"": 13.6077711}",0
1084,bottom set onions bushel,bottom set onions bushels,32-lb bu,f,"{""factor"": 14.51495584}",0
1085,orchard grass seed bushel,orchard grass seed bushels,14-lb bu,f,"{""factor"": 6.35029318}",0
1086,osage orange seed bushel,osage orange seed bushels,33-lb bu,f,"{""factor"": 14.96854821}",0
1087,parsnips bushel,parsnips bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1088,dried peaches bushel,dried peaches bushels,33-lb bu,f,"{""factor"": 14.96854821}",0
1089,green peanuts bushel,green peanuts bushels,22-lb bu,f,"{""factor"": 9.97903214}",0
1090,pears bushel,pears bushels,58-lb bu,f,"{""factor"": 26.30835746}",0
1091,dried peas bushel,dried peas bushels,60-lb bu,f,"{""factor"": 27.2155422}",0
1092,green peas in pod bushel,green peas in pod bushels,32-lb bu,f,"{""factor"": 14.51495584}",0
1093,ear popcorn bushel,ear popcorn bushels,70-lb bu,f,"{""factor"": 31.7514659}",0
1094,shelled popcorn bushel,shelled popcorn bushels,56-lb bu,f,"{""factor"": 25.40117272}",0
1095,quinces bushel,quinces bushels,48-lb bu,f,"{""factor"": 21.77243376}",0
1096,red top seed bushel,red top seed bushels,14-lb bu,f,"{""factor"": 6.35029318}",0
1097,rough rice bushel,rough rice bushels,45-lb bu,f,"{""factor"": 20.41165665}",0
1098,rutabagas bushel,rutabagas bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1099,rye meal bushel,rye meal bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1100,shorts bushel,shorts bushels,20-lb bu,f,"{""factor"": 9.0718474}",0
1101,sorghum seed bushel,sorghum seed bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1102,spelt bushel,spelt bushels,40-lb bu,f,"{""factor"": 18.1436948}",0
1103,spinach bushel,spinach bushels,12-lb bu,f,"{""factor"": 5.44310844}",0
1104,unhulled sweet clover seed bushel,unhulled sweet clover seed bushels,33-lb bu,f,"{""factor"": 14.96854821}",0
1105,timothy seed bushel,timothy seed bushels,45-lb bu,f,"{""factor"": 20.41165665}",0
1106,tomatoes bushel,tomatoes bushels,56-lb bu,f,"{""factor"": 25.40117272}",0
1107,turnips bushel,turnips bushels,55-lb bu,f,"{""factor"": 24.94758035}",0
1108,walnuts bushel,walnuts bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1109,megajoule,megajoules,MJ,f,"{""factor"": 1000000}",0
1110,gigajoule,gigajoules,GJ,f,"{""factor"": 1000000000}",0
1111,petajoule,petajoules,PJ,f,"{""factor"": 1000000000000000}",0
1112,forage sorghum bushel,forage sorghum bushels,50-lb bu,f,"{""factor"": 22.6796185}",0
1113,cubic meter proof equivalent,cubic meters proof equivalent,m³ proof equivalent,t,"{""factor"": 1}",0
1114,forty-foot equivalent unit,forty-foot equivalent units,FEU,f,"{""factor"": null}",0
1115,board foot,board feet,BF,f,"{""factor"": 0.0023597372}",0
1116,1000 board feet,1000 board feet,MBF,f,"{""factor"": 2.3597372}",0
1117,tap,taps,tap,f,"{""factor"": 1}",0
1118,chicken,chickens,chicken,t,"{""factor"": 1}",0
1119,100 chickens,100 chickens,100 chickens,f,"{""factor"": 100}",0
1120,plant,plants,plant,t,"{""factor"": 1}",0
1121,corn ear,corn ears,corn ear,t,"{""factor"": 1}",0
1122,lamb,lambs,lamb,t,"{""factor"": 1}",0
1123,ewe,ewes,ewe,t,"{""factor"": 1}",0
1124,woman,women,woman,t,"{""factor"": 1}",0
1125,1000 women,1000 women,1000 women,f,"{""factor"": 1000}",0
1126,live birth,live births,live birth,f,"{""factor"": 1}",0
1127,1000 live births,1000 live births,1000 live births,f,"{""factor"": 1000}",0
1128,kilogram per cubic meter,kilograms per cubic meter,kg/m³,t,"{""factor"": 1}",0
1129,moles per kilogram,moles per kilogram,mol/kg,t,"{""factor"": 1}",0
1130,centimole per kilogram,centimoles per kilogram,cmol/kg,t,"{""factor"": 0.01}",0
1131,pH,pH,pH,t,"{""factor"": null}",0
1132,mass percent,mass percent,mass %,f,"{""factor"": null}",0
1133,volume percent,volume percent,volume %,f,"{""factor"": null}",0
1134,centner,centners,centner,f,"{""factor"": 100}",0
1135,centner per hectare,centners per hectare,centner/ha,f,"{""factor"": 0.01}",0
1136,microgram,micrograms,mg,f,"{""factor"": 1e-6}",0
1137,nanogram,nanograms,ng,f,"{""factor"": 1e-9}",0
1138,troy ounce,troy ounces,TOZ,f,"{""factor"": 0.0311035}",0
1139,megatonne,megatonnes,Mt,f,"{""factor"": 1e9}",0
1140,item,items,item,t,"{""factor"": 1}",0
1141,kilojoule,kilojoules,kJ,f,"{""factor"": 1e3}",0
1142,Zimbabwean dollar,Zimbabwean dollars,ZWL,f,"{""factor"": null}",0
1143,Tanzanian shilling,Tanzanian shillings,TZS,f,"{""factor"": null}",0
1144,Kenyan shilling,Kenyan shillings,KES,f,"{""factor"": null}",0
1145,Ugandan shilling,Ugandan shillings,UGX,f,"{""factor"": null}",0
1146,Afghan afghani,Afghan afghanis,AFN,f,"{""factor"": null}",0
1147,Albanian lek,Albanian leks,ALL,f,"{""factor"": null}",0
1148,Algerian dinar,Algerian dinars,DZD,f,"{""factor"": null}",0
1149,Argentine peso,Argentine pesos,ARS,f,"{""factor"": null}",0
1150,Aruban florin,Aruban florins,AWG,f,"{""factor"": null}",0
1151,Australian dollar,Australian dollars,AUD,f,"{""factor"": null}",0
1152,Azerbaijani manat,Azerbaijani manats,AZN,f,"{""factor"": null}",0
1153,Bahamian dollar,Bahamian dollars,BSD,f,"{""factor"": null}",0
1154,Bahraini dinar,Bahraini dinars,BHD,f,"{""factor"": null}",0
1155,Barbados dollar,Barbados dollars,BBD,f,"{""factor"": null}",0
1156,Belarusian ruble,Belarusian rubles,BYB,f,"{""factor"": null}",0
1157,"Belarusian ruble, old","Belarusian rubles, old",BYR,f,"{""factor"": null}",0
1158,Belize dollar,Belize dollars,BZD,f,"{""factor"": null}",0
1159,Bermudian dollar,Bermudian dollars,BMD,f,"{""factor"": null}",0
1160,Bitcoin,Bitcoins,XBT,f,"{""factor"": null}",0
1161,Bolivian boliviano,Bolivian bolivianos,BOB,f,"{""factor"": null}",0
1162,Bosnia-Herzegovina convertible mark,Bosnia-Herzegovina convertible marks,BAM,f,"{""factor"": null}",0
1163,Botswana pula,Botswana pulas,BWP,f,"{""factor"": null}",0
1164,Pound sterling,Pound sterling,GBP,f,"{""factor"": null}",0
1165,Brunei dollar,Brunei dollars,BND,f,"{""factor"": null}",0
1166,Bulgarian lev,Bulgarian levs,BGN,f,"{""factor"": null}",0
1167,Burmese kyat,Burmese kyat,MMK,f,"{""factor"": null}",0
1168,Burundian franc,Burundian Francs per liter,BIF,f,"{""factor"": null}",0
1169,CFA franc,CFA francs,XOF,f,"{""factor"": null}",0
1170,CFP franc,CFP francs,XPF,f,"{""factor"": null}",0
1171,Cambodian riel,Cambodian riels,KHR,f,"{""factor"": null}",0
1172,Cape Verde escudo,Cape Verde escudo,CVE,f,"{""factor"": null}",0
1173,Cayman Islands dollar,Cayman Islands dollars,KYD,f,"{""factor"": null}",0
1174,Chilean Unidad de Fomento,Chilean Unidad de Fomento,CLF,f,"{""factor"": null}",0
1175,Chilean peso,Chilean pesos,CLP,f,"{""factor"": null}",0
1176,Chinese yuan renminbi,Chinese yuan renminbi,RMB,f,"{""factor"": null}",0
1177,Colombian peso,Colombian pesos,COP,f,"{""factor"": null}",0
1178,Comoro franc,Comoro francs,KMF,f,"{""factor"": null}",0
1179,Congolese franc,Congolese francs,CDF,f,"{""factor"": null}",0
1180,Costa Rican colón,Costa Rican colón,CRC,f,"{""factor"": null}",0
1181,Croatian kuna,Croatian kuna,HRK,f,"{""factor"": null}",0
1182,Cuban convertible peso,Cuban convertible pesos,CUC,f,"{""factor"": null}",0
1183,Cuban peso,Cuban pesos,CUP,f,"{""factor"": null}",0
1184,Czech koruna,Czech koruna,CZK,f,"{""factor"": null}",0
1185,Danish krone,Danish krone,DKK,f,"{""factor"": null}",0
1186,Djiboutian franc,Djiboutian francs,DJF,f,"{""factor"": null}",0
1187,Dominican peso,Dominican pesos,DOP,f,"{""factor"": null}",0
1188,East Caribbean dollar,East Caribbean dollars,XCD,f,"{""factor"": null}",0
1189,Egyptian pound,Egyptian pounds,EGP,f,"{""factor"": null}",0
1190,Eritrean nakfa,Eritrean nakfa,ERN,f,"{""factor"": null}",0
1191,Ethiopian birr,Ethiopian birr,ETB,f,"{""factor"": null}",0
1192,Falkland Islands pound,Falkland Islands pounds,FKP,f,"{""factor"": null}",0
1193,Fiji dollar,Fiji dollar,FJD,f,"{""factor"": null}",0
1194,Gambian dalasi,Gambian dalasi,GMD,f,"{""factor"": null}",0
1195,Georgian lari,Georgian lari,GEL,f,"{""factor"": null}",0
1196,Ghanaian cedi,Ghanaian cedis,GHS,f,"{""factor"": null}",0
1197,Gibraltar pound,Gibraltar pounds,GIP,f,"{""factor"": null}",0
1198,Gold ounce,Gold ounce,XAU,f,"{""factor"": null}",0
1199,Guatemalan quetzal,Guatemalan quetzales,GTQ,f,"{""factor"": null}",0
1200,Guernsey pound,Guernsey pounds,GGP,f,"{""factor"": null}",0
1201,Guinean franc,Guinean francs,GNF,f,"{""factor"": null}",0
1202,Guyanese dollar,Guyanese dollars,GYD,f,"{""factor"": null}",0
1203,Haitian gourde,Haitian gourdes,HTG,f,"{""factor"": null}",0
1204,Honduran lempira,Honduran lempira,HNL,f,"{""factor"": null}",0
1205,Hong Kong dollar,Hong Kong dollars,HKD,f,"{""factor"": null}",0
1206,Hungarian forint,Hungarian forint,HUF,f,"{""factor"": null}",0
1207,Icelandic króna,Icelandic króna,ISK,f,"{""factor"": null}",0
1208,Indonesian rupiah,Indonesian rupiah,IDR,f,"{""factor"": null}",0
1209,Iranian rial,Iranian rial,IRR,f,"{""factor"": null}",0
1210,Iraqi dinar,Iraqi dinar,IQD,f,"{""factor"": null}",0
1211,Isle of Man pound,Isle of Man pounds,IMP,f,"{""factor"": null}",0
1212,Israeli new shekel,Israeli new shekels,NIS,f,"{""factor"": null}",0
1213,Jamaican dollar,Jamaican dollars,JMD,f,"{""factor"": null}",0
1214,Japanese yen,Japanese yens,JPY,f,"{""factor"": null}",0
1215,Jersey pound,Jersey pounds,JEP,f,"{""factor"": null}",0
1216,Jordanian dinar,Jordanian dinars,JOD,f,"{""factor"": null}",0
1217,Kazakhstani tenge,Kazakhstani tenge,KZT,f,"{""factor"": null}",0
1219,Kuwaiti dinar,Kuwaiti dinars,KWD,f,"{""factor"": null}",0
1220,Kyrgyzstani som,Kyrgyzstani som,KGS,f,"{""factor"": null}",0
1221,Lao kip,Lao kip,LAK,f,"{""factor"": null}",0
1222,Latvian lat,Latvian lats,LVL,f,"{""factor"": null}",0
1223,Lebanese pound,Lebanese pounds,LBP,f,"{""factor"": null}",0
1224,Lesotho loti,Lesotho loti,LSL,f,"{""factor"": null}",0
1225,Liberian dollar,Liberian dollars,LRD,f,"{""factor"": null}",0
1226,Libyan dinar,Libyan dinars,LYD,f,"{""factor"": null}",0
1227,Lithuanian lita,Lithuanian litas,LTL,f,"{""factor"": null}",0
1228,Macanese pataca,Macanese pataca,MOP,f,"{""factor"": null}",0
1229,Macedonian denar,Macedonian denar,MKD,f,"{""factor"": null}",0
1230,Malagasy ariary,Malagasy ariary,MGA,f,"{""factor"": null}",0
1231,Malawian kwacha,Malawian kwachas,MWK,f,"{""factor"": null}",0
1232,Malaysian ringgit,Malaysian ringgit,MYR,f,"{""factor"": null}",0
1233,Maldivian rufiyaa,Maldivian rufiyaa,MVR,f,"{""factor"": null}",0
1234,Mauritanian ouguiya,Mauritanian ouguiya,MRU,f,"{""factor"": null}",0
1235,Mauritian rupee,Mauritian rupees,MUR,f,"{""factor"": null}",0
1236,Moldovan leu,Moldovan leu,MDL,f,"{""factor"": null}",0
1237,Mongolian tögrög,Mongolian tögrög,MNT,f,"{""factor"": null}",0
1238,Moroccan dirham,Moroccan dirham,MAD,f,"{""factor"": null}",0
1239,Mozambique metical,Mozambique meticals,MZN,f,"{""factor"": null}",0
1240,Namibian dollar,Namibian dollars,NAD,f,"{""factor"": null}",0
1241,Nepalese rupee,Nepalese rupees,NPR,f,"{""factor"": null}",0
1242,Netherlands Antillean guilder,Netherlands Antillean guilder,ANG,f,"{""factor"": null}",0
1243,New Taiwan dollar,New Taiwan dollars,TWD,f,"{""factor"": null}",0
1244,New Zealand dollar,New Zealand dollars,NZD,f,"{""factor"": null}",0
1245,Nicaraguan córdoba,Nicaraguan córdobas,NIO,f,"{""factor"": null}",0
1246,Nigerian naira,Nigerian nairas,NGN,f,"{""factor"": null}",0
1247,North Korean won,North Korean won,KPW,f,"{""factor"": null}",0
1248,Norwegian krone,Norwegian krone,NOK,f,"{""factor"": null}",0
1249,Omani rial,Omani rials,OMR,f,"{""factor"": null}",0
1250,Pakistani rupee,Pakistani rupees,PKR,f,"{""factor"": null}",0
1251,Panamanian balboa,Panamanian balboa,PAB,f,"{""factor"": null}",0
1252,Papua New Guinean kina,Papua New Guinean kina,PGK,f,"{""factor"": null}",0
1253,Paraguayan guaraní,Paraguayan guaraní,PYG,f,"{""factor"": null}",0
1254,Peruvian nuevo sol,Peruvian nuevo sol,PEN,f,"{""factor"": null}",0
1255,Philippine peso,Philippine pesos,PHP,f,"{""factor"": null}",0
1256,Polish zloty,Polish zloty,PLN,f,"{""factor"": null}",0
1257,Qatari riyal,Qatari riyal,QAR,f,"{""factor"": null}",0
1258,Romanian leu,Romanian leu,RON,f,"{""factor"": null}",0
1259,Russian ruble,Russian rubles,RUB,f,"{""factor"": null}",0
1260,Rwandan franc,Rwandan francs,RWF,f,"{""factor"": null}",0
1261,Saint Helena pound,Saint Helena pound,SHP,f,"{""factor"": null}",0
1262,Salvadoran colón,Salvadoran colón,SVC,f,"{""factor"": null}",0
1263,Samoan tālā,Samoan tālā,WST,f,"{""factor"": null}",0
1264,Saudi riyal,Saudi riyal,SAR,f,"{""factor"": null}",0
1265,Serbian dinar,Serbian dinar,RSD,f,"{""factor"": null}",0
1266,Seychellois rupee,Seychellois rupee,SCR,f,"{""factor"": null}",0
1267,Sierra Leonean leone,Sierra Leonean leone,SLL,f,"{""factor"": null}",0
1268,Silver ounce,Silver ounce,XAG,f,"{""factor"": null}",0
1269,Singapore dollar,Singapore dollars,SGP,f,"{""factor"": null}",0
1270,Solomon Islands dollar,Solomon Islands dollars,SBD,f,"{""factor"": null}",0
1271,Somali shilling,Somali shillings,SOS,f,"{""factor"": null}",0
1272,South African rand,South African rands,ZAR,f,"{""factor"": null}",0
1273,South Korean won,South Korean won,KRW,f,"{""factor"": null}",0
1274,Special Drawing Right (SDR),Special Drawing Rights (SDR),SDR,f,"{""factor"": null}",0
1275,Sri Lankan rupee,Sri Lankan rupees,LKR,f,"{""factor"": null}",0
1276,Sudanese pound,Sudanese pounds,SDG,f,"{""factor"": null}",0
1277,Surinamese dollar,Surinamese dollars,SRD,f,"{""factor"": null}",0
1278,Swazi lilangeni,Swazi lilangeni,SZL,f,"{""factor"": null}",0
1279,Swedish krona,Swedish krona,SEK,f,"{""factor"": null}",0
1280,Swiss franc,Swiss francs,CHF,f,"{""factor"": null}",0
1281,Syrian pound,Syrian pounds,SYP,f,"{""factor"": null}",0
1282,São Tomé and Príncipe dobra,São Tomé and Príncipe dobra,STN,f,"{""factor"": null}",0
1283,Tajikistani somoni,Tajikistani somoni,TJS,f,"{""factor"": null}",0
1285,Thai baht,Thai baht,THB,f,"{""factor"": null}",0
1286,Tongan paʻanga,Tongan paʻanga,TOP,f,"{""factor"": null}",0
1287,Trinidad and Tobago dollar,Trinidad and Tobago dollar,TTD,f,"{""factor"": null}",0
1288,Tunisian dinar,Tunisian dinars,TND,f,"{""factor"": null}",0
1289,Turkish lira,Turkish lira,TRY,f,"{""factor"": null}",0
1290,Turkmenistan new manat,Turkmenistan new manat,TMT,f,"{""factor"": null}",0
1291,UAE dirham,UAE dirham,AED,f,"{""factor"": null}",0
1292,US dollar,US dollars,USD,f,"{""factor"": null}",0
1294,Uruguayan peso,Uruguayan pesos,UYU,f,"{""factor"": null}",0
1295,Uzbekistan som,Uzbekistan som,UZS,f,"{""factor"": null}",0
1296,Vanuatu vatu,Vanuatu vatu,VUV,f,"{""factor"": null}",0
1297,Venezuelan bolívar,Venezuelan bolívar,VES,f,"{""factor"": null}",0
1298,West African CFA franc,West African CFA francs,XAF,f,"{""factor"": null}",0
1299,Yemeni rial,Yemeni rial,YER,f,"{""factor"": null}",0
1300,Zambian kwacha,Zambian kwachas,ZMW,f,"{""factor"": null}",0
1301,"Zambian kwacha, old","Zambian kwachas, old",ZMK,f,"{""factor"": null}",0
1302,Zimbabwean dollar,Zimbabwean dollars,ZWL,f,"{""factor"": null}",0
1303,Angolan kwanza,Angolan kwanza,AOK,f,"{""factor"": null}",0
1304,Brazilian arroba,Brazilian arroba,@,f,"{""factor"": 15}",0
1305,50 pounds,50 pounds,50-lb,f,"{""factor"": 22.6796}",0
1306,"80,000 kernels","80,000 kernels","80,000 kernels",f,"{""factor"": 1}",0
1307,hive,hives,hive,f,"{""factor"": 1}",0
1308,crate,crates,crate,f,"{""factor"": 1}",0
1309,blackbuck,blackbuck,blackbuck,f,"{""factor"": null}",0
1310,bpaintrubber,bpaintrubber,bpaintrubber,f,"{""factor"": null}",0
1311,cuartilla,cuartilla,cuartilla,f,"{""factor"": null}",0
1312,kokobowl,kokobowl,kokobowl,f,"{""factor"": null}",0
1313,margarinetin,margarinetin,margarinetin,f,"{""factor"": null}",0
1314,marmite,marmite,marmite,f,"{""factor"": null}",0
1315,olonka,olonka,olonka,f,"{""factor"": null}",0
1316,paint bucket,paint bucket,paint bucket,f,"{""factor"": null}",0
1317,tomatin,tomatin,tomatin,f,"{""factor"": null}",0
